"Date","Meeting ID","Group Name","Meeting Rep Name","Meeting Rep Phone"
"1/6/2019","102","BBB","Rob","5559387654"
"1/13/2019","102","CYE","Tara","9876554321"
"1/20/2019","102","UYT","Glen","3437654652"
"1/27/2019","102","OEK","Jeff","4542445652"
"1/6/2019","103","WWB","Paul","3159396652"
"1/13/2019","103","KNR","Lottie","6925914652"
"1/20/2019","103","PLL","Patti","3987074652"
"1/27/2019","103","MWW","Dominic","4317981652"
"1/13/2019","104","QPD","Sonya","7158055652"
"1/13/2019","101","IOA","Hara","7158055652"
